text,intent
Forward,MOVE_FORWARD
Go forward,MOVE_FORWARD
Advance,MOVE_FORWARD
Proceed,MOVE_FORWARD
Drive forward,MOVE_FORWARD
Move ahead,MOVE_FORWARD
Head forward,MOVE_FORWARD
Travel forward,MOVE_FORWARD
Go straight,MOVE_FORWARD
Move straight,MOVE_FORWARD
Proceed straight,MOVE_FORWARD
Drive straight,MOVE_FORWARD
Head straight,MOVE_FORWARD
Travel straight,MOVE_FORWARD
Advance forward,MOVE_FORWARD
Proceed ahead,MOVE_FORWARD
Continue ahead,MOVE_FORWARD
Go ahead,MOVE_FORWARD
Move closer,MOVE_FORWARD
Approach,MOVE_FORWARD
Please move forward,MOVE_FORWARD
Please go straight,MOVE_FORWARD
Please advance,MOVE_FORWARD
Please proceed ahead,MOVE_FORWARD
Kindly drive forward,MOVE_FORWARD
Could you move forward,MOVE_FORWARD
Could you go straight,MOVE_FORWARD
Would you mind moving forward,MOVE_FORWARD
Can you advance the robot,MOVE_FORWARD
I need you to move forward,MOVE_FORWARD
I want you to go straight,MOVE_FORWARD
Please continue moving straight,MOVE_FORWARD
Keep going forward,MOVE_FORWARD
Keep moving straight,MOVE_FORWARD
Continue heading forward,MOVE_FORWARD
Maintain forward momentum,MOVE_FORWARD
Drive ahead slowly,MOVE_FORWARD
Advance carefully,MOVE_FORWARD
Proceed forward with caution,MOVE_FORWARD
Go straight ahead,MOVE_FORWARD
Move forward a little bit,MOVE_FORWARD
Go forward just a bit,MOVE_FORWARD
Advance slightly,MOVE_FORWARD
Proceed a short distance forward,MOVE_FORWARD
Drive forward a couple of inches,MOVE_FORWARD
Move straight for a few feet,MOVE_FORWARD
Go ahead by one meter,MOVE_FORWARD
Advance forward by two meters,MOVE_FORWARD
Drive forward five units,MOVE_FORWARD
Move ahead ten centimeters,MOVE_FORWARD
Slowly approach the target,MOVE_FORWARD
Gently move forward,MOVE_FORWARD
Gradually advance straight,MOVE_FORWARD
Smoothly proceed forward,MOVE_FORWARD
Initiate forward movement,MOVE_FORWARD
Start moving forward,MOVE_FORWARD
Begin advancing straight,MOVE_FORWARD
Activate forward drive,MOVE_FORWARD
Execute forward motion,MOVE_FORWARD
Set direction to forward,MOVE_FORWARD
Go forward until I say stop,MOVE_FORWARD
Keep driving straight until further notice,MOVE_FORWARD
Continue advancing until you reach the wall,MOVE_FORWARD
Move straight until the path ends,MOVE_FORWARD
Proceed forward until an obstacle is detected,MOVE_FORWARD
Drive forward continuously,MOVE_FORWARD
Advance forward indefinitely,MOVE_FORWARD
Roll forward,MOVE_FORWARD
Roll straight ahead,MOVE_FORWARD
Keep rolling forward,MOVE_FORWARD
Navigate forward,MOVE_FORWARD
Navigate straight ahead,MOVE_FORWARD
Steer forward,MOVE_FORWARD
Steer straight,MOVE_FORWARD
Track forward,MOVE_FORWARD
Track straight ahead,MOVE_FORWARD
Cruise forward,MOVE_FORWARD
Cruise straight,MOVE_FORWARD
Make your way forward,MOVE_FORWARD
Head directly straight,MOVE_FORWARD
Go straight toward the object,MOVE_FORWARD
Move forward toward the desk,MOVE_FORWARD
Advance straight to the marker,MOVE_FORWARD
Proceed forward to the line,MOVE_FORWARD
Drive straight into the room,MOVE_FORWARD
Move forward through the doorway,MOVE_FORWARD
Go ahead into the next zone,MOVE_FORWARD
Advance to the front,MOVE_FORWARD
Move to the front position,MOVE_FORWARD
Proceed to the forward waypoint,MOVE_FORWARD
Drive to the next point ahead,MOVE_FORWARD
Hey robot please move forward,MOVE_FORWARD
Okay buddy go straight,MOVE_FORWARD
Can you please drive forward now,MOVE_FORWARD
It is time to move forward,MOVE_FORWARD
Let us advance straight,MOVE_FORWARD
We need to go forward,MOVE_FORWARD
You should proceed ahead,MOVE_FORWARD
I would like you to move straight,MOVE_FORWARD
My request is for you to drive forward,MOVE_FORWARD
Your next task is to advance forward,MOVE_FORWARD
Command execute forward movement,MOVE_FORWARD
Instruction set drive to straight,MOVE_FORWARD
System initiate forward travel,MOVE_FORWARD
Robot head straight forward,MOVE_FORWARD
Move forward at low speed,MOVE_FORWARD
Go straight at medium speed,MOVE_FORWARD
Advance forward at high speed,MOVE_FORWARD
Proceed ahead at half speed,MOVE_FORWARD
Drive straight at full speed,MOVE_FORWARD
Move forward at a steady pace,MOVE_FORWARD
Go straight with constant velocity,MOVE_FORWARD
Advance with positive acceleration,MOVE_FORWARD
Proceed forward smoothly,MOVE_FORWARD
Drive ahead without stopping,MOVE_FORWARD
Go forward once more,MOVE_FORWARD
Move straight again,MOVE_FORWARD
Advance forward another time,MOVE_FORWARD
Proceed straight as before,MOVE_FORWARD
Resume forward movement,MOVE_FORWARD
Restart forward drive,MOVE_FORWARD
Continue your forward path,MOVE_FORWARD
Go straight like you were doing,MOVE_FORWARD
Move forward in a straight line,MOVE_FORWARD
Advance along the linear path,MOVE_FORWARD
Proceed forward on this trajectory,MOVE_FORWARD
Drive straight along the axis,MOVE_FORWARD
Travel forward in this direction,MOVE_FORWARD
Head forward along the corridor,MOVE_FORWARD
Go straight down the hallway,MOVE_FORWARD
Move forward across the floor,MOVE_FORWARD
Advance forward into the open space,MOVE_FORWARD
Proceed straight to the designated area,MOVE_FORWARD
Drive forward carefully to avoid collisions,MOVE_FORWARD
Please move forward to clear the space,MOVE_FORWARD
Go straight ahead to make room,MOVE_FORWARD
Advance forward to get a closer look,MOVE_FORWARD
Proceed ahead to inspect the item,MOVE_FORWARD
Drive straight to shorten the distance,MOVE_FORWARD
Move forward to close the gap,MOVE_FORWARD
Go forward to reduce the space,MOVE_FORWARD
Advance straight to minimize the distance,MOVE_FORWARD
Proceed forward to reach the destination,MOVE_FORWARD
Drive straight until you are close,MOVE_FORWARD
Move forward until you are near,MOVE_FORWARD
Go straight until you arrive,MOVE_FORWARD
Advance forward until you are there,MOVE_FORWARD
Proceed ahead until you get closer,MOVE_FORWARD
Drive straight until positioned correctly,MOVE_FORWARD
Move forward to align your base,MOVE_FORWARD
Go straight to center yourself,MOVE_FORWARD
Advance forward to adjust your position,MOVE_FORWARD
Proceed ahead to calibrate distance,MOVE_FORWARD
Drive straight to verify the path,MOVE_FORWARD
Move forward as per the layout,MOVE_FORWARD
Go straight according to plan,MOVE_FORWARD
Advance forward on the grid,MOVE_FORWARD
Proceed straight along the coordinates,MOVE_FORWARD
Drive forward on the specified route,MOVE_FORWARD
Travel straight on the current vector,MOVE_FORWARD
Head forward to the target zone,MOVE_FORWARD
Go straight to the charging station,MOVE_FORWARD
Move forward to the docking area,MOVE_FORWARD
Advance forward to the inspection point,MOVE_FORWARD
Proceed straight to the drop-off location,MOVE_FORWARD
Drive straight to the pickup spot,MOVE_FORWARD
Move forward toward the main entrance,MOVE_FORWARD
Go straight toward the exit sign,MOVE_FORWARD
Advance forward toward the lights,MOVE_FORWARD
Proceed ahead toward the sensor marker,MOVE_FORWARD
Drive straight toward the camera view,MOVE_FORWARD
Move forward into the scanning field,MOVE_FORWARD
Go straight into the workspace,MOVE_FORWARD
Advance forward into the center room,MOVE_FORWARD
Proceed ahead into the designated lane,MOVE_FORWARD
Drive straight into the storage unit,MOVE_FORWARD
Move forward with a minimal increment,MOVE_FORWARD
Go straight with a slight nudge,MOVE_FORWARD
Advance forward by a tiny fraction,MOVE_FORWARD
Proceed ahead just a hair,MOVE_FORWARD
Drive straight by a small step,MOVE_FORWARD
Move forward one pace,MOVE_FORWARD
Go straight two paces,MOVE_FORWARD
Advance forward three paces,MOVE_FORWARD
Proceed ahead four paces,MOVE_FORWARD
Drive straight five paces,MOVE_FORWARD
Move forward along the centerline,MOVE_FORWARD
Go straight down the main path,MOVE_FORWARD
Advance forward on the track,MOVE_FORWARD
Proceed ahead via the straight route,MOVE_FORWARD
Drive straight through the clear opening,MOVE_FORWARD
Backward,MOVE_BACKWARD
Go backward,MOVE_BACKWARD
Reverse,MOVE_BACKWARD
Back up,MOVE_BACKWARD
Retreat,MOVE_BACKWARD
Move backward,MOVE_BACKWARD
Drive backward,MOVE_BACKWARD
Head backward,MOVE_BACKWARD
Travel backward,MOVE_BACKWARD
Proceed backward,MOVE_BACKWARD
Go back,MOVE_BACKWARD
Move back,MOVE_BACKWARD
Drive back,MOVE_BACKWARD
Head back,MOVE_BACKWARD
Travel back,MOVE_BACKWARD
Proceed back,MOVE_BACKWARD
Back away,MOVE_BACKWARD
Move away backward,MOVE_BACKWARD
Drive away backward,MOVE_BACKWARD
Retreat backward,MOVE_BACKWARD
Please move backward,MOVE_BACKWARD
Please go backward,MOVE_BACKWARD
Please reverse,MOVE_BACKWARD
Please back up,MOVE_BACKWARD
Kindly drive backward,MOVE_BACKWARD
Could you move backward,MOVE_BACKWARD
Could you reverse the robot,MOVE_BACKWARD
Would you mind backing up,MOVE_BACKWARD
Can you go backward for me,MOVE_BACKWARD
I need you to move backward,MOVE_BACKWARD
I want you to reverse,MOVE_BACKWARD
Please continue moving backward,MOVE_BACKWARD
Keep going backward,MOVE_BACKWARD
Keep reversing,MOVE_BACKWARD
Continue heading backward,MOVE_BACKWARD
Maintain backward momentum,MOVE_BACKWARD
